name,category,url
Paradise Beach,beach,https://drive.google.com/uc?id=1cyocghpP0JTI_PO0h1rAneAVNT4xNaZp
Paradise Beach,beach,https://drive.google.com/uc?id=18eZwfNGKNBGAIwJApcAfUvDwjtwatvTk
Paradise Beach,beach,https://drive.google.com/uc?id=1Dfmb-QjWrY8VK9s97p2z_K0GxmhSBgDM
Hawa Beach,beach,https://drive.google.com/uc?id=1cTNVUk5CmdSIWZEOqPKSyyhEJgvCCkZT
Hawa Beach,beach,https://drive.google.com/uc?id=1AK7VulQ7xmLELeoe5QnE_VEY8aeSSsVP
Hawa Beach,beach,https://drive.google.com/uc?id=1nzdzXzCcnlp9851gN_jnYDamCicv3Pgp
Hawa Beach,beach,https://drive.google.com/uc?id=1DeGDT3iOvIvEd4xN8QWhyAiuN_aq2uYS
Hawa Beach,beach,https://drive.google.com/uc?id=1CuHFAYSk8Ili8wiVE9JJmrLXAhfA1qgJ
Hawa Beach,beach,https://drive.google.com/uc?id=1x8u2oDdfzvxf6K2jW9vu2-wZ2GSnF1Ri
Lighthouse Beach,beach,https://drive.google.com/uc?id=1MKn6MiVFx4defIal3cg6v4zi_LIGELzB
Lighthouse Beach,beach,https://drive.google.com/uc?id=1h2Z1hWl02MtG_u3yX-auR7a7JaqTNGwT
Lighthouse Beach,beach,https://drive.google.com/uc?id=1-5YyLbFkqIKWEkiD5K90AypOgsg4N8oM
Lighthouse Beach,beach,https://drive.google.com/uc?id=1dNkRSsoGlGVyY-1L0ziaTu3V6wWXIdQH
Lighthouse Beach,beach,https://drive.google.com/uc?id=1YP8XcfUl4b4tZ4ntxtfEHMT1JNO-FsIm
Lighthouse Beach,beach,https://drive.google.com/uc?id=1BfPPqj861UHa6RlojBGpwlcOcV8R2WAa
Agatti,beach,https://drive.google.com/uc?id=1zXLG5HawnyFBPDlWVGQ8zMLag3iQbZxo
Agatti,beach,https://drive.google.com/uc?id=1D6FMEnkZjK3jn65MkZkEnfUTG-gzY3kQ
Agatti,beach,https://drive.google.com/uc?id=1JhcBHu4ldjeKDeHazoTh92wIwBEy3KCU
Agatti,beach,https://drive.google.com/uc?id=1oqW9ZFpBZv43efJG_yAe8WVvwewyd7XG
Agatti,beach,https://drive.google.com/uc?id=1fJ5PRSqS_v8W8b9opYiinkky_jdX2Xkd
Agatti,beach,https://drive.google.com/uc?id=1jnTXN7aR_MB6n_Sba72GIwoQ7p4Pjn9r
Andretti,beach,https://drive.google.com/uc?id=1l5Yvtg-h_zc183AqFh7rjQaElGFa7S5w
Bangaram,beach,https://drive.google.com/uc?id=1VTFmo9kTge1NR754L7on2SJs8YZ6LCAD
Bangaram,beach,https://drive.google.com/uc?id=1HOd7hYkHUd4n64eKcQWBPCeRQVprfuKD
Bangaram,beach,https://drive.google.com/uc?id=1XOzA5d-8whE3ZUnylIUdn_DF4BTOUhxE
Bangaram,beach,https://drive.google.com/uc?id=1S2y1UUSZwyVCgEIyuEzqW97a0BA2fo-X
Bangaram,beach,https://drive.google.com/uc?id=1ovPa22m3tiGa0-DSlHIQtDp_oIMfg-AI
Bangaram,beach,https://drive.google.com/uc?id=1Z_kJXXrnqQ1kBbaL1KJVT3zU6DjpQmNN
Kadmath,beach,https://drive.google.com/uc?id=1j30dgEq2AaAvAFg30ZHGKXNkE8lzQfjh
Kadmath,beach,https://drive.google.com/uc?id=16GGeiyh1OyIU_QwVDEIpT00ZPB6Oyh6M
Kadmath,beach,https://drive.google.com/uc?id=1s0V_qYZ_F6X7VcfYlQURJBMMimXqKj_N
Kadmath,beach,https://drive.google.com/uc?id=1qo09EVl1fHrmGBolDxM_LcfZaFVImUe9
Kadmath,beach,https://drive.google.com/uc?id=1yEIqgBDsDUY7Wkdvtn53JxT3a-hY2_uL
Kadmath,beach,https://drive.google.com/uc?id=1x7_mLE35dID9DQP_3acYkY4O1Qrje-jz
Kalpeni,beach,https://drive.google.com/uc?id=1C0Mes47-lhFUPRmhVjcvLMZmEEx4aNB-
Kalpeni,beach,https://drive.google.com/uc?id=1JWk5n9TxjulktVzufCKAzS5CwiQ1DkDE
Kalpeni,beach,https://drive.google.com/uc?id=1Mt-fBSDuEHodpschS2Xh-uuAHnjK4a4w
Kalpeni,beach,https://drive.google.com/uc?id=10L1JJ6MVMkm5hE25eR8KUzJJ4gj28oMe
Kalpeni,beach,https://drive.google.com/uc?id=1veTfw3kxF-WnAQF5uSunTJprxwO1g18c
Kalpeni,beach,https://drive.google.com/uc?id=1w91PgRkvVApeWVwe_yEXsbD1Rl3x_RlH
Kavaratti,beach,https://drive.google.com/uc?id=1SkIDObyXGsXIlGOILodDYLggvjjsZ-fQ
Kavaratti,beach,https://drive.google.com/uc?id=1aRofSiuHQOh7-PE1nl7Vsb8YJU_AtUk0
Kavaratti,beach,https://drive.google.com/uc?id=1RShoZL-5HhfRLRekutHOaV4Jw2_Si5TU
Kavaratti,beach,https://drive.google.com/uc?id=1BRdLk88cgirldyuoWnn3rfN3Uz_JxOPM
Kavaratti,beach,https://drive.google.com/uc?id=1X_Z7k_NV5TDAgQZeGkngT97ymZzDKHz3
Kavaratti,beach,https://drive.google.com/uc?id=1B6oE5pn5hDgD6pbDptdB0qDj6rQ9ctau
Minicoy,beach,https://drive.google.com/uc?id=1JUGzV2MKj3pZRblVVFEv5qU2pn8MbDGp
Minicoy,beach,https://drive.google.com/uc?id=1kIKVsi9mQQwdjSO_OUzGeQXorf5jI-Tm
Minicoy,beach,https://drive.google.com/uc?id=1T071cxvNjz0oJec8Dt1AvjTMO32H1uhX
Minicoy,beach,https://drive.google.com/uc?id=1i4nd4GC88whfJMBjEn19C8QcAt9vEDWN
Minicoy,beach,https://drive.google.com/uc?id=1719TfFOy3wBlea2nP8-IpPbQgxIQ6Hng
Minicoy,beach,https://drive.google.com/uc?id=1u8wqlOFWwJBIPFTLwquoigDPowOA2o4G
Arambol Beach,beach,https://drive.google.com/uc?id=1KdnKu3qL0w-EObeAk8aE83JvuKxzpzOw
Calangute Beach,beach,https://drive.google.com/uc?id=1VELeGvxhTLd5Wd2Ny7Wbt80TrS3z6x9t
Candolim Beach,beach,https://drive.google.com/uc?id=1xILWNgmgIi29oq1HUl7YAl6vJY_CDdxi
Huvahendhoo Island,beach,https://drive.google.com/uc?id=1_XUynDTQFr_jXDM42d9d6RXayz-AkyhQ
Maafushi,beach,https://drive.google.com/uc?id=1YnL-_KAnPmUIP3efdtWR6N3iJ8oTdHi7
Maafushi,beach,https://drive.google.com/uc?id=1nhfgjNIMXVFPuknloLLR1T1fXRkfjVl5
Maafushi,beach,https://drive.google.com/uc?id=1NE7UT6ircXDMQYnpKnp2SEhr8cq4L3vM
Maafushi,beach,https://drive.google.com/uc?id=14GepRIf9_Vfy2MYEVEB96ASQzUrsNBHp
Maafushi,beach,https://drive.google.com/uc?id=1SvGJ_5GZZ8JJPkjDreeNRts77zC39AU6
Maamigili,beach,https://drive.google.com/uc?id=1JpFpOiilhi5GPjOBI8RX-dePf6G1txjD
Maamigili,beach,https://drive.google.com/uc?id=1tH2Irle4JkGrxX355A92lk1FcfWpUOUl
Maamigili,beach,https://drive.google.com/uc?id=1RXP4erHDO-hdhNU0DGMN3kaiN9gWoEua
Morjim Beach,beach,https://drive.google.com/uc?id=1TIpNRPsYVX8VPydRGNSj1tsEsdCgVk4s
Vagator Beach,beach,https://drive.google.com/uc?id=12A84D4E8C7xH9vvKuvJ8qbrUfpkLsNvy
Vagator Beach,beach,https://drive.google.com/uc?id=1XMV311ldFyHNC4EfI1ZoRMf1sBVptbkz
Vagator Beach,beach,https://drive.google.com/uc?id=1iaRk5Z92ousaX1oMby_tVPy7mVGi5X0r
Vagator Beach,beach,https://drive.google.com/uc?id=1vqQ3_i-vvTdh84hHbMmPRYk-Ejq8amVW
Varca Beach,beach,https://drive.google.com/uc?id=1WNYgyaQrXLK0wpnXmtMeRbk_oiOrKg7h
Varca Beach,beach,https://drive.google.com/uc?id=1l5vQpd7nawZgL-De2vh2wIXuLGp8viRJ
Varca Beach,beach,https://drive.google.com/uc?id=1iB6G-VwVWe2V-PbYtuiJGcTNgly0AcXv
Chunnambar Boat House,beach,https://drive.google.com/uc?id=1FvupgNgQePvlo5r0hsko1cQpcKfSyHzq
Promenade Beach,beach,https://drive.google.com/uc?id=101rHhXek_lWolvHtOsH_kkru7b3GvnyJ
Promenade Beach,beach,https://drive.google.com/uc?id=1Vp21o5x-ENx3LNJlybekiOlnB18PMZzx
Promenade Beach,beach,https://drive.google.com/uc?id=1aJyA0fp6Yhcp1O866YGa5NQ05r7LIVpD
Promenade Beach,beach,https://drive.google.com/uc?id=10jXlTxvRqVZE9UrBDATM5TjQdrBjhs4y
Promenade Beach,beach,https://drive.google.com/uc?id=1nUWfUX4khPUE4_tkqjZEYdYsQr_i0VhE
Promenade Beach,beach,https://drive.google.com/uc?id=1hOJ4jAECewAw6qR7lhJ20cfp1iAZlGEH
Serenity Beach,beach,https://drive.google.com/uc?id=1Y1uiwYARx18BFCxONDJOOOyMLhUUy4PT
Serenity Beach,beach,https://drive.google.com/uc?id=1C702v9dGiR72oPFs5zCuQ8tA5brtRUQ-
Serenity Beach,beach,https://drive.google.com/uc?id=1nI9JuU-YqW1adBLn5OfyFoxvANz0zEU5
Serenity Beach,beach,https://drive.google.com/uc?id=11F2O_0XfIP9ycPQ88ZVWwkdDjtSO4OOc
Serenity Beach,beach,https://drive.google.com/uc?id=13tinkoWLump4TF7_0qosGqwYXf9fD34Y
Serenity Beach,beach,https://drive.google.com/uc?id=1qvxQfZEv4OSIfPveDqeJfRkX9Zd3lp-x
Thiruvambady Beach,beach,https://drive.google.com/uc?id=1Q7v6vdRrtR6tvbD5u3_vzkqx9gUbEHWX
Varkala Beach,beach,https://drive.google.com/uc?id=1TM-qjNmqsTlZOBPN6xRltz6qR3EldA3O
Varkala Beach,beach,https://drive.google.com/uc?id=1wfX_T_Lw0G6fFgCu14GS-RdzGRndncUo
